Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule
Йошкар-Ола,Офис-менеджер,Нет опыта,50000.0,Офис-менеджер,Полный день
Йошкар-Ола,Специалист по маркировке «Честный знак»,От 1 года до 3 лет,70000.0,Специалист технической поддержки,Полный день
Йошкар-Ола,Рабочий на военный завод,Нет опыта,145000.0,Разнорабочий,Вахтовый метод
Йошкар-Ола,Стажер,Нет опыта,98000.0,Другое,Гибкий график
Йошкар-Ола,Помощник менеджера по работе с маркетплейсом Wildberries,Нет опыта,42500.0,Другое,Полный день
Йошкар-Ола,Фасовщик - сборщик,Нет опыта,55000.0,Разнорабочий,Полный день
Йошкар-Ола,Бухгалтер,От 1 года до 3 лет,50000.0,Бухгалтер,Полный день
Йошкар-Ола,Директор производства,Более 6 лет,700000.0,Начальник производства,Полный день
Йошкар-Ола,Менеджер производства,От 1 года до 3 лет,87500.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Помощник бухгалтера,От 1 года до 3 лет,36000.0,Бухгалтер,Полный день
Йошкар-Ола,Frontend Developer (React) в команду WebPMS,От 3 до 6 лет,250000.0,"Программист, разработчик",Полный день
Йошкар-Ола,Frontend Developer (middle),От 3 до 6 лет,,"Программист, разработчик",Полный день
Йошкар-Ола,Копирайтер,От 1 года до 3 лет,30000.0,Другое,Удаленная работа
Йошкар-Ола,Руководитель проектов по развитию производства,От 3 до 6 лет,90000.0,Руководитель проектов,Полный день
Йошкар-Ола,"Сотрудник на свободный график (От 2,3,4 часов в день)",Нет опыта,154000.0,Курьер,Гибкий график
Йошкар-Ола,Диспетчер на производство,Нет опыта,40000.0,Кладовщик,Полный день
Йошкар-Ола,Менеджер по продажам,Нет опыта,175000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Продавец-консультант/оптический стилист,Нет опыта,40000.0,"Продавец-консультант, продавец-кассир",Сменный график
Йошкар-Ола,Цифровой художник,Нет опыта,,"Дизайнер, художник",Полный день
Йошкар-Ола,Математик,Нет опыта,72500.0,"Программист, разработчик",Полный день
Йошкар-Ола,Продавец-консультант,Нет опыта,40000.0,"Продавец-консультант, продавец-кассир",Полный день
Йошкар-Ола,Frontend Developer (middle),От 3 до 6 лет,,"Программист, разработчик",Полный день
Йошкар-Ола,Фасовщик,Нет опыта,40000.0,"Упаковщик, комплектовщик",Полный день
Йошкар-Ола,Упаковщик Ozon Community,Нет опыта,150000.0,Грузчик,Вахтовый метод
Йошкар-Ола,Бизнес-ассистент руководителя / помощник руководителя,Нет опыта,65000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Йошкар-Ола,Специалист по планированию и учёту,От 1 года до 3 лет,57700.0,Другое,Полный день
Йошкар-Ола,Специалист по созданию уютной атмосферы в офисе,Нет опыта,40000.0,Другое,Полный день
Йошкар-Ола,Курьер,Нет опыта,96750.0,Курьер,Гибкий график
Йошкар-Ола,Начальник отдела по молодежной политике,Нет опыта,44500.0,"Секретарь, помощник руководителя, ассистент",Полный день
Йошкар-Ола,Бухгалтер на первичную документацию,Нет опыта,35000.0,Бухгалтер,Полный день
Йошкар-Ола,Охранник,Нет опыта,35000.0,Охранник,Сменный график
Йошкар-Ола,"Помощник руководителя (решала, бригадир, риэлтор, водитель в одном лице)",Нет опыта,200000.0,Другое,Полный день
Йошкар-Ола,Химик аналитической лаборатории,Нет опыта,80000.0,Другое,Сменный график
Йошкар-Ола,Ревизор,От 1 года до 3 лет,40000.0,Аудитор,Полный день
Йошкар-Ола,Менеджер,От 1 года до 3 лет,60000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Штамповщик (Штамповщица),Нет опыта,65000.0,Другое,Полный день
Йошкар-Ола,Менеджер,Нет опыта,60000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Коммерческий директор,От 1 года до 3 лет,80000.0,Коммерческий директор (CCO),Полный день
Йошкар-Ола,Мобильный Фотограф,Нет опыта,60000.0,"Фотограф, ретушер",Гибкий график
Йошкар-Ола,Администратор салона красоты / менеджер по работе с клиентами,Нет опыта,32500.0,Администратор,Полный день
Йошкар-Ола,Водитель-экспедитор,От 1 года до 3 лет,80000.0,Водитель,Полный день
Йошкар-Ола,Заместитель начальника цеха,От 3 до 6 лет,112000.0,"Начальник смены, мастер участка",Полный день
Йошкар-Ола,Оператор 1-С,От 1 года до 3 лет,40000.0,Другое,Полный день
Йошкар-Ола,Монтажник (монтажница) радиоэлектронной аппаратуры и приборов,Нет опыта,49500.0,Монтажник,Сменный график
Йошкар-Ола,Заместитель главного бухгалтера,От 3 до 6 лет,60000.0,Бухгалтер,Полный день
Йошкар-Ола,Водитель-экспедитор,От 1 года до 3 лет,40000.0,Водитель,Полный день
Волжск,Сотрудник склада в пункт выдачи заказов,Нет опыта,84000.0,Кладовщик,Сменный график
Йошкар-Ола,Администратор-кассир в стоматологию,Нет опыта,32500.0,Администратор,Сменный график
Йошкар-Ола,Управляющий частной школой,От 3 до 6 лет,115000.0,Другое,Полный день
Йошкар-Ола,Ночной администратор в гостиницу,Нет опыта,50000.0,Администратор,Полный день
Йошкар-Ола,Водитель-экспедитор,От 1 года до 3 лет,45000.0,Водитель,Полный день
Йошкар-Ола,Администратор частного детского сада,От 1 года до 3 лет,,"Учитель, преподаватель, педагог",Полный день
Йошкар-Ола,Менеджер по подбору персонала,От 1 года до 3 лет,45000.0,Специалист по подбору персонала,Полный день
Йошкар-Ола,Ученик-стажер (Москва),Нет опыта,115000.0,Другое,Полный день
Йошкар-Ола,Рабочий,Нет опыта,50000.0,Разнорабочий,Полный день
Йошкар-Ола,Младший QA - Инженер,Нет опыта,40000.0,Тестировщик,Полный день
Йошкар-Ола,Web-дизайнер,Нет опыта,50000.0,"Дизайнер, художник",Полный день
Йошкар-Ола,Медицинский регистратор,Нет опыта,,Администратор,Сменный график
Йошкар-Ола,Project Manager/Руководитель проектов,От 1 года до 3 лет,140000.0,Руководитель проектов,Удаленная работа
Йошкар-Ола,Фасовщик заказов,Нет опыта,59500.0,"Упаковщик, комплектовщик",Гибкий график
Йошкар-Ола,Специалист по тестированию,От 1 года до 3 лет,,Тестировщик,Полный день
Йошкар-Ола,Сортировщик палочек для мороженного (Подработка),Нет опыта,,"Упаковщик, комплектовщик",Полный день
Йошкар-Ола,Торговый представитель,От 1 года до 3 лет,,Торговый представитель,Полный день
Йошкар-Ола,Менеджер на маркетплейсах,От 1 года до 3 лет,15000.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Йошкар-Ола,Бизнес-ассистент/помощник руководителя,От 1 года до 3 лет,70000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Йошкар-Ола,Оператор производственной линии,Нет опыта,65000.0,Оператор производственной линии,Полный день
Йошкар-Ола,Менеджер отдела Дистрибуции (Йошкар-Ола),От 1 года до 3 лет,60000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Укладчик-упаковщик,Нет опыта,51500.0,"Упаковщик, комплектовщик",Сменный график
Йошкар-Ола,Заместитель начальника отдела благоустройства,От 1 года до 3 лет,40000.0,Другое,Полный день
Йошкар-Ола,Рабочий на производство,Нет опыта,55000.0,Оператор производственной линии,Полный день
Йошкар-Ола,Документовед,Нет опыта,25000.0,"Делопроизводитель, архивариус",Полный день
Йошкар-Ола,Копирайтер,От 1 года до 3 лет,,"Копирайтер, редактор, корректор",Удаленная работа
