Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule,Experience,City,Population,Schedule Encoded
Йошкар-Ола,Офис-менеджер,Нет опыта,50000.0,Офис-менеджер,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Специалист по маркировке «Честный знак»,От 1 года до 3 лет,70000.0,Специалист технической поддержки,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Рабочий на военный завод,Нет опыта,145000.0,Разнорабочий,Вахтовый метод,0,Йошкар-Ола,248700.0,5
Йошкар-Ола,Стажер,Нет опыта,98000.0,Другое,Гибкий график,0,Йошкар-Ола,248700.0,3
Йошкар-Ола,Помощник менеджера по работе с маркетплейсом Wildberries,Нет опыта,42500.0,Другое,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Фасовщик - сборщик,Нет опыта,55000.0,Разнорабочий,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Бухгалтер,От 1 года до 3 лет,50000.0,Бухгалтер,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Директор производства,Более 6 лет,700000.0,Начальник производства,Полный день,7,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер производства,От 1 года до 3 лет,87500.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Помощник бухгалтера,От 1 года до 3 лет,36000.0,Бухгалтер,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Frontend Developer (React) в команду WebPMS,От 3 до 6 лет,250000.0,"Программист, разработчик",Полный день,4,Йошкар-Ола,248700.0,1
Йошкар-Ола,Копирайтер,От 1 года до 3 лет,30000.0,Другое,Удаленная работа,2,Йошкар-Ола,248700.0,4
Йошкар-Ола,Руководитель проектов по развитию производства,От 3 до 6 лет,90000.0,Руководитель проектов,Полный день,4,Йошкар-Ола,248700.0,1
Йошкар-Ола,"Сотрудник на свободный график (От 2,3,4 часов в день)",Нет опыта,154000.0,Курьер,Гибкий график,0,Йошкар-Ола,248700.0,3
